game_id;boardgame;avg_rating;num_ratings;complexity;wishlisted;total_plays;amazon_price;url;description;player_id;playtime_id
33;Terra Mystica;8.039;49937;3.98;14169;170491;79.7;https://boardgamegeek.com/boardgame/120677/terra-mystica;Play fantastical factions. Expand your influence by terraforming and joining cults.;16;10
34;Sky Team;8.154;23570;2.04;9275;235694;30.19;https://boardgamegeek.com/boardgame/373106/sky-team;Work together silently to land a plane under increasingly challenging circumstances.;13;21
35;Wingspan;8.014;105678;2.47;20695;768920;55.0;https://boardgamegeek.com/boardgame/266192/wingspan;Attract a beautiful and diverse collection of birds to your wildlife preserve.;17;22
36;Orléans;8.048;34120;3.01;9237;115970;NULL;https://boardgamegeek.com/boardgame/164928/orleans;Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?;16;23
37;Slay the Spire: The Board Game;8.69;8131;2.91;7264;45535;113.59;https://boardgamegeek.com/boardgame/338960/slay-the-spire-the-board-game;Craft a unique deck, discover powerful relics, and Slay the Spire together!;8;24
38;SETI: Search for Extraterrestrial Intelligence;8.395;11877;3.78;8241;41581;NULL;https://boardgamegeek.com/boardgame/418059/seti-search-for-extraterrestrial-intelligence;Search for signs of alien life by launching probes and analyzing distant signals.;3;25
39;Mage Knight Board Game;8.08;34503;4.37;12716;79847;101.54;https://boardgamegeek.com/boardgame/96848/mage-knight-board-game;Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.;3;26
40;Barrage;8.145;20213;4.12;7094;72799;199.99;https://boardgamegeek.com/boardgame/251247/barrage;Nations vie for hydroelectric dominance in a dystopia where water is power.;3;17
41;The Crew: Mission Deep Sea;8.081;22685;2.04;6384;272858;14.95;https://boardgamegeek.com/boardgame/324856/the-crew-mission-deep-sea;Explore the deep sea, outwit fate, and discover the mythic land of Mu!;18;21
42;Everdell;7.997;63498;2.83;22060;254249;NULL;https://boardgamegeek.com/boardgame/199792/everdell;Gather resources to develop a harmonious village of woodland critters and structures.;19;27
43;Viticulture Essential Edition;7.969;52887;2.89;13118;191305;52.0;https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition;Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.;6;28
