row_id,boardgame,min_players,max_players,min_playtime,max_playtime,minimum_age,avg_rating,num_ratings,complexity,wishlisted,total_plays,amazon_price,categories,url,description
25,A Feast for Odin,1,4,30,120,12,8.166,31679,3.86,15786,123275,,Animals; Economic; Farming; Industry / Manufacturing; Medieval; Puzzle,https://boardgamegeek.com/boardgame/177736/a-feast-for-odin,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore."
26,Concordia,2,5,100,100,13,8.084,43420,2.99,12179,144417,52.47,Ancient; Economic; Nautical,https://boardgamegeek.com/boardgame/124361/concordia,Merchants build and trade throughout the Roman Empire to please the Gods.
27,Great Western Trail: Second Edition,1,4,75,150,12,8.284,16100,3.71,4971,59591,65.99,American West; Animals; Economic,https://boardgamegeek.com/boardgame/341169/great-western-trail-second-edition,Wrangle your herd of cows across the Midwest prairie and deliver it to Kansas City.
28,Lost Ruins of Arnak,1,4,30,120,12,8.071,51953,2.93,14978,285051,59.99,Adventure; Card Game; Exploration; Fantasy,https://boardgamegeek.com/boardgame/312484/lost-ruins-of-arnak,Explore an island to find resources and discover the lost ruins of Arnak.
29,Arkham Horror: The Card Game,1,2,60,120,14,8.126,46246,3.56,11164,347171,48.99,Adventure; Card Game; Collectible Components; Exploration; Horror; Novel-based,https://boardgamegeek.com/boardgame/205637/arkham-horror-the-card-game,Investigate the horrors of Arkham while courting cosmic doom.
30,Root,2,4,60,90,14,8.07,59387,3.83,22851,214776,47.2,Animals; Fantasy; Negotiation; Territory Building; Wargame,https://boardgamegeek.com/boardgame/237182/root,Decide the fate of the forest as woodland factions fight for contrasting goals.
31,The Lord of the Rings: Duel for Middle-earth,2,2,30,45,10,8.375,12887,2.06,5816,50401,39.99,Card Game; Fantasy; Novel-based,https://boardgamegeek.com/boardgame/421006/the-lord-of-the-rings-duel-for-middle-earth,Play as the Fellowship or Sauron and attempt to determine the fate of Middle-earth.
32,Too Many Bones,1,4,60,120,12,8.316,15886,3.87,12583,80318,154.8,Adventure; Dice; Fantasy; Fighting,https://boardgamegeek.com/boardgame/192135/too-many-bones,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.
33,Terra Mystica,2,5,60,150,12,8.039,49937,3.98,14169,170491,79.7,Civilization; Economic; Fantasy; Territory Building,https://boardgamegeek.com/boardgame/120677/terra-mystica,Play fantastical factions. Expand your influence by terraforming and joining cults.
34,Sky Team,2,2,20,20,10,8.154,23570,2.04,9275,235694,30.19,Aviation / Flight; Dice,https://boardgamegeek.com/boardgame/373106/sky-team,Work together silently to land a plane under increasingly challenging circumstances.
35,Wingspan,1,5,40,70,10,8.014,105678,2.47,20695,768920,55.0,Animals; Card Game; Educational,https://boardgamegeek.com/boardgame/266192/wingspan,Attract a beautiful and diverse collection of birds to your wildlife preserve.
36,Orléans,2,5,90,90,12,8.048,34120,3.01,9237,115970,,Medieval; Religious; Travel,https://boardgamegeek.com/boardgame/164928/orleans,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?"
37,Slay the Spire: The Board Game,1,4,30,150,12,8.69,8131,2.91,7264,45535,113.59,Adventure; Card Game; Fantasy; Fighting; Video Game Theme,https://boardgamegeek.com/boardgame/338960/slay-the-spire-the-board-game,"Craft a unique deck, discover powerful relics, and Slay the Spire together!"
38,SETI: Search for Extraterrestrial Intelligence,1,4,40,160,14,8.395,11877,3.78,8241,41581,,Science Fiction; Space Exploration,https://boardgamegeek.com/boardgame/418059/seti-search-for-extraterrestrial-intelligence,Search for signs of alien life by launching probes and analyzing distant signals.
39,Mage Knight Board Game,1,4,60,240,14,8.08,34503,4.37,12716,79847,101.54,Adventure; Exploration; Fantasy; Fighting,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities."
40,Barrage,1,4,90,180,14,8.145,20213,4.12,7094,72799,199.99,Economic; Environmental; Industry / Manufacturing,https://boardgamegeek.com/boardgame/251247/barrage,Nations vie for hydroelectric dominance in a dystopia where water is power.
41,The Crew: Mission Deep Sea,2,5,20,20,10,8.081,22685,2.04,6384,272858,14.95,Adventure; Card Game; Mythology; Nautical,https://boardgamegeek.com/boardgame/324856/the-crew-mission-deep-sea,"Explore the deep sea, outwit fate, and discover the mythic land of Mu!"
42,Everdell,1,4,40,80,10,7.997,63498,2.83,22060,254249,,Animals; Card Game; City Building; Fantasy,https://boardgamegeek.com/boardgame/199792/everdell,Gather resources to develop a harmonious village of woodland critters and structures.
43,Viticulture Essential Edition,1,6,45,90,13,7.969,52887,2.89,13118,191305,52.0,Economic; Farming,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.
44,Hegemony: Lead Your Class to Victory,2,4,90,180,14,8.418,10200,4.23,6263,21437,75.04,Economic; Educational; Negotiation; Political,https://boardgamegeek.com/boardgame/321608/hegemony-lead-your-class-to-victory,"Simulate a whole contemporary nation in this asymmetric, politico-economic euro-game."
45,Heat: Pedal to the Metal,1,6,30,60,10,8.014,34442,2.2,13709,202523,60.0,Racing; Sports,https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal,"Push your car to the limit in the pursuit of victory, but don’t overheat!"
